seed_id,name,name_query,address_query,address_quality,latitude,longitude,postcode,freeform,locality,basic_category,confidence,websites
0004fd9b-bd04-4437-9f3e-6b37e147058c,キッチンながた,キッチンながた,愛知県豊川市伊奈町南山新田1,prefecture_only,34.8143253326416,137.35041046142578,,愛知県豊川市伊奈町南山新田１,豊川市,restaurant,0.968062162399292,http://www.k-nagata.jp
00063113-26e4-45dc-a7e0-c6ad8479265c,長浜ラーメン九州一番,長浜ラーメン九州一番,〒899-1623 鹿児島県阿久根市港町34,prefecture_and_postcode,32.0159969329834,130.1943130493164,899-1623,鹿児島県阿久根市港町３４,阿久根市,restaurant,0.46525493264198303,
0006364b-0cee-437b-8edf-d60beb93756c,Torikizoku,Torikizoku,〒273-0005 本町4丁目44-11,postcode_and_partial,35.700313568115234,139.98688507080078,273-0005,本町4丁目44-11,船橋市,restaurant,0.9907364249229431,http://www.torikizoku.co.jp/shops/detail/466
00285c73-7315-4add-b658-e3d512e9ea1a,一心,一心,,none,34.679677963256836,135.64226531982422,,,東大阪市,restaurant,0.5726525783538818,
002ab5ad-e61a-4741-a6c8-21f3e507f17d,珈琲倶楽部,珈琲倶楽部,〒880-0041 陣の平559-3,postcode_and_partial,31.947696685791016,131.4214096069336,880-0041,陣の平559-3,宮崎市,coffee_shop,0.9734110236167908,http://mameyamiyazaki.blogspot.jp/
00311d1f-4640-492f-9d2e-0d9661f45c8e,インター食堂,インター食堂,〒941-0064 上刈3-16-6 インター食堂,postcode_and_partial,37.031686782836914,137.85399627685547,941-0064,上刈3-16-6 インター食堂,糸魚川市,restaurant,0.77,https://www.itoigawa-inter.jp
0043bd72-530b-434e-8fe1-61430be3121b,炭火活烹三是,炭火活烹三是,〒151-0053 東京都渋谷区代々木2丁目11−12,prefecture_and_postcode,35.6872615814209,139.69688415527344,151-0053,東京都渋谷区代々木２丁目１１−１２,渋谷区,restaurant,0.9973724240064621,http://mikore.info
00644dcb-4b66-4f8d-98a4-83e805ff04e5,ル・フォワイエ　Le Foyer - Ebisu,ル・フォワイエ Le Foyer - Ebisu,〒150-0013 Ebisu 2-9-1,postcode_and_partial,35.6958065032959,139.77371978759766,150-0013,Ebisu 2-9-1,千代田区,restaurant,0.3118380308151245,
00705b2d-40f2-4819-add0-d14f20dd83fc,小平中島町,小平中島町,東京都小平市中島町,prefecture_only,35.73019981384277,139.43456268310547,,東京都小平市中島町,東大和市,restaurant,0.9497635364532471,
007166b5-f4af-4988-8e01-613e57eb0214,具る米屋,具る米屋,〒135-0063 東京都江東区有明3丁目5−7,prefecture_and_postcode,35.63251304626465,139.78827667236328,135-0063,東京都江東区有明３丁目５−７,江東区,restaurant,0.3604007065296173,
008d52a1-c417-41c7-845e-8607d3745cf1,ラの壱小牧店,ラの壱小牧店,〒485-0072 愛知県小牧市元町1丁目43−1,prefecture_and_postcode,35.29193115234375,136.90535736083984,485-0072,愛知県小牧市元町１丁目４３−１,小牧市,restaurant,0.4500769376754761,http://www.ranoichi.com
00914749-df39-49de-94fd-254df380d1d6,Lamp（らんぷ）,Lamp(らんぷ),〒024-0034 諏訪町1-1-10渡屋ビル1F,postcode_and_partial,39.285335540771484,141.11894989013672,024-0034,諏訪町１－１－１０渡屋ビル１Ｆ,北上市,bar,0.7708175778388977,http://tou.ch/spot/1167564/
0092333b-018f-4e1c-bdcc-33b7c6a17caa,エベレストキッチン 川崎店,エベレストキッチン 川崎店,〒210-0834 神奈川県川崎市川崎区大島3丁目35−1,prefecture_and_postcode,35.52093315124512,139.72034454345703,210-0834,神奈川県川崎市川崎区大島３丁目３５−１,川崎市川崎区,bar,0.7305694222450256,
00936619-5fb5-4427-b643-82af7dc48743,寿楽庵,寿楽庵,〒616-8434 京都府京都市右京区嵯峨鳥居本仏餉田町10,prefecture_and_postcode,35.02470588684082,135.6684112548828,616-8434,京都府京都市右京区嵯峨鳥居本仏餉田町１０,京都市右京区,restaurant,0.6207172870635986,
0093fc46-5a9d-40ff-90f7-7b286b3ad3c8,Cafe Garage,Cafe Garage,〒616-8343 1-6 Sagaasahicho,postcode_and_partial,35.01489448547363,135.69147491455078,616-8343,1-6 Sagaasahicho,京都市右京区,cafe,0.968795120716095,
00982d47-7775-4756-aee1-91e1ab6b8497,幸楽苑,幸楽苑,〒252-0334 南区若松4-12-8,postcode_and_partial,35.5377254486084,139.42337799072266,252-0334,南区若松4-12-8,相模原市,restaurant,0.77,https://www.kourakuen.co.jp
00a41eec-9bc6-48ab-828e-0c8d835d105e,日本の大衆食堂 たつ吉,日本の大衆食堂 たつ吉,〒282-0011 三里塚御料牧場1-1,postcode_and_partial,35.76351737976074,140.38347625732422,282-0011,三里塚御料牧場1-1,成田市,restaurant,0.77,http://www.bbande.co.jp/tatsu/
00a6ed7a-3abd-4eeb-91c4-e1265aa138dc,aura,aura,〒723-0015 3 Chome-4-6 Enichicho,postcode_and_partial,34.39605522155762,133.0768814086914,723-0015,3 Chome-4-6 Enichicho,三原市,restaurant,0.97538822889328,
00b053c5-4455-47d2-b091-4c5c43fc205f,八剣伝相模原星ヶ丘店,八剣伝相模原星ヶ丘店,〒252-0226 神奈川県相模原市中央区陽光台2丁目3−2,prefecture_and_postcode,35.557573318481445,139.3727035522461,252-0226,神奈川県相模原市中央区陽光台２丁目３−２,相模原市中央区,bar,0.8228476047515869,http://www.hotpepper.jp/strJ001011019/
00b600dd-53b7-4e66-868f-0c3f1d55a336,麻布うどん,麻布うどん,〒106-0031 東京都港区西麻布3丁目24−23,prefecture_and_postcode,35.65971565246582,139.72411346435547,106-0031,東京都港区西麻布３丁目２４−２３,港区,restaurant,0.9868388772010803,https://r.gnavi.co.jp/83wre8bt0000/
00bed539-2b6c-4f37-839e-b1e6f9e1e361,すなっくつつい,すなっくつつい,〒088-3203 北海道川上郡弟子屈町湯の島2丁目7−27,prefecture_and_postcode,43.48810577392578,144.45258331298828,088-3203,北海道川上郡弟子屈町湯の島２丁目７−２７,川上郡弟子屈町,bar,0.6697938442230225,
00c343d9-e6f6-43a6-ba6b-8957713bc35e,プランタール,プランタール,〒040-0012 北海道函館市時任町28−8,prefecture_and_postcode,41.78468704223633,140.7564468383789,040-0012,北海道函館市時任町２８−８,函館市,cafe,0.9619767886400222,http://cafeplantar.info/index.html
00c8868a-43e6-4546-92ce-a266f71fa352,中国料理 彩雅,中国料理 彩雅,〒328-0012 3 Chome-43-7 Hirayanagimachi,postcode_and_partial,36.395511627197266,139.7449188232422,328-0012,3 Chome-43-7 Hirayanagimachi,栃木市,restaurant,0.9703422784805298,
00d3a4b0-2eb7-4b23-b790-a158a8905f19,尾道お好み焼き・ぽっぽ家,尾道お好み焼き・ぽっぽ家,〒722-0035 広島県尾道市土堂2丁目8−24,prefecture_and_postcode,34.40779685974121,133.20218658447266,722-0035,広島県尾道市土堂２丁目８−２４,尾道市,restaurant,0.973303496837616,http://onomichi.mypl.net/shop/00000339128
00dc17b1-d38a-4cce-ae19-5f0441523b49,田ごと ポルタ店,田ごと ポルタ店,〒600-8216 京都府京都市下京区東塩小路町902,prefecture_and_postcode,34.986480712890625,135.75940704345703,600-8216,京都府京都市下京区東塩小路町９０２,京都市下京区,restaurant,0.9108787178993225,http://www.kyoto-tagoto.co.jp
