seed_id,name,name_query,address_query,address_quality,latitude,longitude,postcode,freeform,locality,basic_category,confidence,websites
0068ee39-2b28-4ecd-8c95-c60ff34a1316,錦鴻,錦鴻,〒254-0902 徳延758-1,postcode_and_partial,35.3351993560791,139.31563568115234,254-0902,徳延758-1,平塚市,restaurant,0.596782386302948,
0070812f-aa5e-4c14-a42f-9c63ae719bd8,しゅうこうげん,しゅうこうげん,,none,35.349626541137695,136.87322998046875,,,江南市,restaurant,0.8076543211936951,
00d1a565-8804-4caf-b4df-c4cd078964e1,メルヘン,メルヘン,〒080-0011 北海道帯広市西1条南10丁目12,prefecture_and_postcode,42.92081069946289,143.2044906616211,080-0011,北海道帯広市西１条南１０丁目１２,帯広市,bar,0.5992560386657715,
00dc17b1-d38a-4cce-ae19-5f0441523b49,田ごと ポルタ店,田ごと ポルタ店,〒600-8216 京都府京都市下京区東塩小路町902,prefecture_and_postcode,34.986480712890625,135.75940704345703,600-8216,京都府京都市下京区東塩小路町９０２,京都市下京区,restaurant,0.9108787178993225,http://www.kyoto-tagoto.co.jp
0133790b-b87a-4331-b874-e07063180c1d,田舎屋,田舎屋,〒412-0026 静岡県御殿場市東田中1345−10,prefecture_and_postcode,35.29376029968262,138.94963836669922,412-0026,静岡県御殿場市東田中１３４５−１０,御殿場市,restaurant,0.602037250995636,
01532ee7-9589-481f-bf2f-36e1ba118c78,桃太郎,桃太郎,〒752-0974 山口県下関市長府土居の内町1−17,prefecture_and_postcode,33.99844932556152,130.99060821533203,752-0974,山口県下関市長府土居の内町１−１７,下関市,restaurant,0.92719566822052,
019fff1e-34e8-4353-b43e-65d10fcb810b,鮨 しみず,鮨 しみず,〒460-0007 愛知県名古屋市中区新栄2丁目8−13,prefecture_and_postcode,35.1683406829834,136.92290496826172,460-0007,愛知県名古屋市中区新栄２丁目８−１３,名古屋市中区,restaurant,0.9912582206726074,https://www.sushi-shimizu.com
01cb7b8f-b50e-4082-a018-5a0b9c3c2c25,炭火焼鳥駒,炭火焼鳥駒,〒481-0041 愛知県北名古屋市九之坪松馬場1,prefecture_and_postcode,35.23727607727051,136.86803436279297,481-0041,愛知県北名古屋市九之坪松馬場１,北名古屋市,restaurant,0.49752476811408997,
01f6e3be-ccd0-4085-8c16-98990c95227f,矢尾治,矢尾治,京都府京都市下京区富永町(高辻通)691,prefecture_only,34.999982833862305,135.75176239013672,,京都府京都市下京区富永町（高辻通）６９１,京都市下京区,restaurant,0.5932379364967346,http://kyoto-shoujinryouri-yaoji.homepage.jp
01f90620-2900-4310-832e-fb0a96aa47d7,ニコルハウス,ニコルハウス,山口県周南市小松原2636−2,prefecture_only,34.042306900024414,131.99073028564453,,山口県周南市小松原２６３６−２,周南市,coffee_shop,0.8739116188883782,http://kry.co.jp/gourmet/2008/09/11-012345.html
