Q1045248	天丼	wikidata-label
Q1045248	天麩羅飯	wikidata-label
Q1045248	炸蝦蓋飯	wikidata-label
Q1061856	しゃぶしゃぶ	wikidata-label
Q1061856	涮涮鍋	wikidata-label
Q1061856	涮涮锅	wikidata-label
Q107014807	日式餃子	wikidata-label
Q107014807	日式饺子	wikidata-label
Q107014807	餃子	wikidata-label
Q1076874	ちゃーはん	kata2hira
Q1076874	チャーハン	wikidata-label
Q1076874	炒飯	wikidata-label
Q1076874	炒饭	wikidata-label
Q107840688	びーふしちゅー	kata2hira
Q107840688	ビーフシチュー	wikidata-label
Q10859394	すてーき	kata2hira
Q10859394	ステーキ	wikidata-label
Q10859394	牛扒	wikidata-label
Q10859394	牛排	wikidata-label
Q10876842	中国菜	wikidata-label
Q10876842	中國飲食	wikidata-label
Q10876842	中菜	wikidata-label
Q10876842	中華料理	wikidata-label
Q108794306	酢豚	wikidata-label
Q108798661	ふらいどちきん	kata2hira
Q108798661	フライドチキン	wikidata-label
Q108798661	南部炸鸡	wikidata-label
Q108798661	炸雞	wikidata-label
Q108798661	美式炸雞	wikidata-label
Q109588571	あふたぬーん	kata2hira
Q109588571	アフタヌーン	wikidata-label
Q109588571	下午茶	wikidata-label
Q1104399	唐扬	wikidata-label
Q1104399	唐揚げ	wikidata-label
Q1104399	日式炸雞	wikidata-label
Q1104577	ちんじゃおろーす	kata2hira
Q1104577	チンジャオロース	wikidata-label
Q1104577	青椒炒肉絲	wikidata-label
Q1104577	青椒肉丝	wikidata-label
Q1104577	青椒肉絲	wikidata-label
Q111836983	さんどいっち	kata2hira
Q111836983	サンドイッチ	wikidata-label
Q111836983	三明治	wikidata-label
Q11242256	味噌らーめん	kata2hira
Q11242256	味噌ラーメン	wikidata-label
Q11242256	味噌拉麵	wikidata-label
Q11242256	麪豉拉麪	wikidata-label
Q11280254	やきとん	wikidata-label
Q11280254	日式烤肉串	wikidata-label
Q11280254	日式豬肉串	wikidata-label
Q112818476	かれーうどん	kata2hira
Q112818476	カレーうどん	wikidata-label
Q112818476	咖喱烏冬	wikidata-label
Q11317904	ちきん南蛮	kata2hira
Q11317904	チキン南蛮	wikidata-label
Q11317904	鸡肉南蛮	wikidata-label
Q11323173	どりあ	kata2hira
Q11323173	ドリア	wikidata-label
Q11323173	多利亞焗飯	wikidata-label
Q11323173	焗饭	wikidata-label
Q1132679	天津飯	wikidata-label
Q1132679	天津饭	wikidata-label
Q11335663	ぷりんあらもーど	kata2hira
Q11335663	プリンアラモード	wikidata-label
Q1137701	たこらいす	kata2hira
Q1137701	タコライス	wikidata-label
Q113945861	ふるーつさんど	kata2hira
Q113945861	フルーツサンド	wikidata-label
Q1142483	たると	kata2hira
Q1142483	タルト	wikidata-label
Q1142483	塔	wikidata-label
Q1142483	挞	wikidata-label
Q1142483	撻	wikidata-label
Q1142841	とんかつ	wikidata-label
Q1142841	吉列猪排	wikidata-label
Q1142841	吉列豬排	wikidata-label
Q1142841	日式炸豬扒	wikidata-label
Q11428594	塩らーめん	kata2hira
Q11428594	塩ラーメン	wikidata-label
Q11428594	鹽味拉麪	wikidata-label
Q1144102	日式炒麪	wikidata-label
Q1144102	日式炒麵	wikidata-label
Q1144102	焼きそば	wikidata-label
Q11497126	乾炸雞翅	wikidata-label
Q11497126	手羽先唐揚げ	wikidata-label
Q11497126	日式炸雞翼	wikidata-label
Q11554370	油淋雞	wikidata-label
Q11554370	油淋鶏	wikidata-label
Q11554370	油淋鷄	wikidata-label
Q11554370	油淋鸡	wikidata-label
Q11559422	海鮮料理	wikidata-label
Q11559422	海鲜菜肴	wikidata-label
Q11567629	烤魚	wikidata-label
Q11567629	烤鱼	wikidata-label
Q11567629	焼き魚定食	wikidata-label
Q11674333	鰹のたたき	kata2hira
Q11674333	鰹のタタキ	wikidata-label
Q11674333	鰹魚刺身	wikidata-label
Q117231375	定食	wikidata-label
Q1185709	串かつ	kata2hira
Q1185709	串カツ	wikidata-label
Q1185709	串揚	wikidata-label
Q1185709	炸串	wikidata-label
Q1193068	居酒屋	wikidata-label
Q120495866	えびふらい	kata2hira
Q120495866	エビフライ	wikidata-label
Q120495866	日本炸蝦	wikidata-label
Q1205609	はやしらいす	kata2hira
Q1205609	ハヤシライス	wikidata-label
Q1205609	日式牛肉醬料燴飯	wikidata-label
Q1205609	香雅飯	wikidata-label
Q1205609	香雅饭	wikidata-label
Q12200	くれーぷ	kata2hira
Q12200	クレープ	wikidata-label
Q12200	克来普	wikidata-label
Q12200	可丽饼	wikidata-label
Q12200	可麗餅	wikidata-label
Q12200	法國薄餅	wikidata-label
Q1298577	麻婆豆腐	wikidata-label
Q1304390	滑蛋雞肉飯	wikidata-label
Q1304390	親子丼	wikidata-label
Q13233	あいすくりーむ	kata2hira
Q13233	アイスクリーム	wikidata-label
Q13233	冰淇淋	wikidata-label
Q13233	冰激凌	wikidata-label
Q13233	冰酪	wikidata-label
Q13233	雪糕	wikidata-label
Q13276	けーき	kata2hira
Q13276	ケーキ	wikidata-label
Q13276	蛋糕	wikidata-label
Q13314	ぱふぇ	kata2hira
Q13314	パフェ	wikidata-label
Q13314	芭菲	wikidata-label
