"t_name","c_name","c_datatype","c_primary","c_foreign_key","c_unique","c_not_null","c_default","c_index","c_comment","c_check","c_updatable","","t_name_error"
"users","id","UUID",true,false,false,true,"N/A",true,"ユーザ ID","","","",""
"users","username","text",false,false,true,true,"N/A",true,"ログイン用ユーザ名","","","",""
"users","display_name","text",false,false,false,false,"N/A",false,"表示名","","","",""
"users","avatar","text",false,false,false,false,"N/A",false,"アバター画像 URL","","","",""
"users","bio","text",false,false,false,false,"N/A",false,"自己紹介","","","",""
"users","last_login_at","timestamptz",false,false,false,false,"N/A",false,"最終ログイン日時","","","",""
"users","created_at","timestamptz",false,false,false,true,"N/A",false,"作成日時","","","",""
"users","updated_at","timestamptz",false,false,false,true,"N/A",false,"更新日時","","","",""
"users","lock_no","integer",false,false,false,true,"N/A",false,"楽観ロック用のバージョン番号","","","",""
"dish_categories","id","text",true,false,false,true,"N/A",true,"Wikidata QID などの一意なID（例：Q1338822）","","","",""
"dish_categories","label_en","text",false,false,false,true,"N/A",false,"英語の正規表記名（例：Samgyeopsal）","","","",""
"dish_categories","labels","jsonb",false,false,false,true,"N/A",false,"多言語ラベル（{ ""ja"": ""サムギョプサル"", ""ko"": ""삼겹살"" }）","","","",""
"dish_categories","image_url","text",false,false,false,true,"N/A",false,"P18 (画像) 由来のURL","","","",""
"dish_categories","origin","text[]",false,false,false,true,"N/A",false,"原産国QID（例：[""Q884""] for South Korea）","","","",""
"dish_categories","cuisine","text[]",false,false,false,true,"N/A",false,"cuisineに関係するQID（例：[""Q647500""]）","","","",""
"dish_categories","tags","text[]",false,false,false,true,"N/A",true,"再帰的に得られた上位カテゴリのQID群（木登り結果）","","","",""
"dish_categories","created_at","timestamptz",false,false,false,true,"N/A",false,"作成日時","","","",""
"dish_categories","updated_at","timestamptz",false,false,false,true,"N/A",false,"更新日時","","","",""
"dish_categories","lock_no","integer",false,false,false,true,"N/A",false,"楽観ロック用のバージョン番号","","","",""
"dish_category_variants","id","UUID",true,false,false,true,"N/A",true,"一意なID","","","",""
"dish_category_variants","dish_category_id","text",false,"dish_categories.id",false,true,"N/A",true,"紐づく料理カテゴリのQID","","","",""
"dish_category_variants","surface_form","text",false,false,true,true,"N/A","B-tree + GIN","表記ゆれ文字列（例：""gyudon"", ""ぎゅうどん""）","","","",""
"dish_category_variants","source","text",false,false,false,false,"N/A",false,"登録元情報（例：""wikidata-label"", ""katakana-gen""）","","","",""
"dish_category_variants","created_at","timestamptz",false,false,false,true,"N/A",false,"作成日時","","","",""
"dishes","id","UUID",true,false,false,true,"N/A",true,"一意な ID","","","",""
"dishes","restaurant_id","UUID",false,"restaurants.id",false,false,"N/A",true,"紐づくレストラン ID","","","",""
"dishes","category_id","text",false,"dish_categories.id",false,true,"N/A",true,"料理カテゴリ ID","","","",""
"dishes","name","text",false,false,false,false,"N/A",false,"料理名","","","",""
"dishes","created_at","timestamptz",false,false,false,true,"N/A",false,"作成日時","","","",""
"dishes","updated_at","timestamptz",false,false,false,true,"N/A",false,"更新日時","","","",""
"dishes","lock_no","integer",false,false,false,true,"N/A",false,"楽観ロック用のバージョン番号","","","",""
"dish_media","id","UUID",true,false,false,true,"N/A",true,"一意な ID","","","",""
"dish_media","dish_id","UUID",false,"dishes.id",false,true,"N/A",true,"紐づく料理 ID","","","",""
"dish_media","user_id","UUID",false,"users.id",false,false,"N/A",false,"投稿ユーザ ID","","","",""
"dish_media","media_path","text",false,false,true,true,"N/A",false,"メディア ストレージ パス","","","",""
"dish_media","media_type","text",false,false,false,true,"N/A",false,"メディア種別（image / video など）","","","",""
"dish_media","thumbnail_path","text",false,false,false,true,"N/A",false,"サムネイル ストレージ パス ※video用image の場合はmediaと同じ。","","","",""
"dish_media","created_at","timestamptz",false,false,false,true,"N/A",false,"作成日時","","","",""
"dish_media","updated_at","timestamptz",false,false,false,true,"N/A",false,"更新日時","","","",""
"dish_media","lock_no","integer",false,false,false,true,"N/A",false,"楽観ロック用のバージョン番号","","","",""
"dish_likes","id","UUID",true,false,false,true,"N/A",true,"一意な ID","","","",""
"dish_likes","dish_media_id","UUID",false,"dish_media.id","A",true,"N/A",true,"いいね対象メディア ID","","","",""
"dish_likes","user_id","UUID",false,"users.id","A",true,"N/A",true,"いいねしたユーザ ID","","","",""
"dish_likes","created_at","timestamptz",false,false,false,true,"N/A",false,"作成日時","","","",""
"dish_reviews","id","UUID",true,false,false,true,"N/A",true,"一意な ID","","","",""
"dish_reviews","dish_id","UUID",false,"dishes.id",false,true,"N/A",true,"レビュー対象料理 ID","","","",""
"dish_reviews","comment","text",false,false,false,true,"N/A",false,"レビュー本文","","","",""
"dish_reviews","comment_tsv","tsvector",false,false,false,true,"N/A","GIN インデックス","全文検索用 tsvector (GENERATED ALWAYS AS (to_tsvector('simple', coalesce(comment,''))) STORED)","","","",""
"dish_reviews","user_id","UUID",false,"users.id",false,false,"N/A",false,"レビューユーザ ID","","","",""
"dish_reviews","rating","smallint",false,false,false,true,"N/A",false,"評価（★）","","","",""
"dish_reviews","price_cents","int",false,false,false,false,"N/A",false,"価格（センチ単位）","","","",""
"dish_reviews","currency_code","char(3)",false,false,false,false,"N/A",false,"通貨コード","","","",""
"dish_reviews","created_dish_media_id","UUID",false,false,false,false,"N/A",false,"レビュー作成時のメディア ID","","","",""
"dish_reviews","imported_user_name","text",false,false,false,false,"N/A",false,"インポート元ユーザ名","","","",""
"dish_reviews","imported_user_avatar","text",false,false,false,false,"N/A",false,"インポート元ユーザアバター","","","",""
"dish_reviews","created_at","timestamptz",false,false,false,true,"N/A",true,"作成日時","","","",""
